Molecule ChEMBL ID,smiles,Standard Value
CHEMBL1256361,CC(C)NNC(=O)c1ccncc1.O=P(O)(O)O,27.81
CHEMBL94841,CCn1c(O)nnc1-c1ccc(Cl)cc1,-9.44
CHEMBL99344,CCCCCCCCCCCCCCCC(=O)C(F)(F)F,-2.4
CHEMBL3215883,CCCC1(CCC)CCC2(CCN(CCCN(CC)CC)C2)CC1.Cl.Cl,18.33
CHEMBL317229,Cc1ccc(CC2(O)CCN(CCOc3ccc(O)cc3)CC2)cc1,22.3
CHEMBL104264,O=S(=O)(NCCNC/C=C/c1ccc(Br)cc1)c1cccc2cnccc12,45.12
CHEMBL51396,O=C1CCC2CCC(=O)N12,-0.14
CHEMBL298734,NC(=O)N1CCC(CC(=O)N2CCC([C@H]3c4ncc(Br)cc4CCc4cc(Cl)cc(Br)c43)CC2)CC1,104.38
CHEMBL58832,NC(=O)C[C@H](N)C(=O)O,-1.9
CHEMBL964,CCN(CC)C(=S)SSC(=S)N(CC)CC,0.44
CHEMBL2397386,Cl.O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc2c(c1)Cc1ccccc1-2,-7.86
CHEMBL61479,Fc1ccc(-n2cc(CCCCN3CCC4(CC3)OCc3ccccc34)c3ccccc32)cc1,103.7
CHEMBL63064,COc1ccc(OC)c(CN(C(C)=O)c2cc(F)ccc2Oc2ccccc2)c1,90.96
CHEMBL3116252,O=C(C(c1ccccc1)c1ccccc1)N1CCN(CC(O)COc2cccc3ncccc23)CC1.O=C(O)/C=C/C(=O)O,7.68
CHEMBL65567,CN1CC(=O)N=C1N,-0.81
CHEMBL63829,CC(C)(CCCCCCCCCCC(C)(C)CC(=O)O)CC(=O)O,16.76
CHEMBL304008,Oc1ccc2[nH]cc(C3=CCNCC3)c2n1,15.37
CHEMBL985,NC(N)=O,19.36
CHEMBL63154,CCCCCCN(CCCCCC)C(=O)Cc1c(-c2ccc(F)cc2)[nH]c2ccccc12,73.55
CHEMBL1256662,CC(C(O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1.O=C(O)C(O)C(O)C(=O)O,0.9
CHEMBL303697,Cc1nc(C)c(C)nc1C,35.14
CHEMBL71191,COc1cc2ncc(-c3ccccc3)nc2cc1OC,5.87
CHEMBL67654,CC(C)(C(=O)O)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,0.32
CHEMBL303958,Nc1nc(N)c(N=O)c(OCC2CCCCC2)n1,62.01
CHEMBL1257078,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1.Cl,9.46
CHEMBL308954,Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)nc(N)c1Br,-9.42
CHEMBL1256696,CCN(CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1.O=C(O)CC(O)(CC(=O)O)C(=O)O,0.01
CHEMBL418899,C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(=O)[nH]c(N)nc21,-4.33
CHEMBL311350,CCn1cc(C(=O)O)c(=O)c2cnc(N3CCCC3)nc21,-1.09
CHEMBL306147,CC(=O)OCC(=O)[C@@]1(O)CCC2C3CCC4=CC(=O)CC[C@]4(C)C3[C@@H](O)C[C@@]21C,7.22
CHEMBL440498,O=C(NO)C1(CS(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CCOCC1,11.24
CHEMBL81421,Cc1c(C)c2c(c(C)c1OC(=O)CCC(=O)O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2,-1.4
CHEMBL79686,CC(=O)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C,-12.18
CHEMBL83899,COc1cc(N)c(Cl)cc1C(=O)CCC1CCN(CCNS(C)(=O)=O)CC1,20.32
CHEMBL85251,CCCCN1CCC(CCC(=O)c2cc(Cl)c(N)cc2OC)CC1,10.09
CHEMBL1255746,Cl.Oc1noc2c1CCNC2,12.76
CHEMBL1256772,CCN(CC)CCNC(=O)c1cc(S(C)(=O)=O)ccc1OC.Cl,32.44
CHEMBL312607,O=C(O)c1cc2ccccc2s1,23.73
CHEMBL1057,O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21,0.08
CHEMBL86313,C[C@@H](NCc1cc(Br)cc2nc(O)c(O)nc12)P(=O)(O)O,6.17
CHEMBL313154,Nc1cc2c3ccccc3ccc2c2ccccc12,-0.46
CHEMBL3545213,N#CC(c1ccnc(OCc2ccc(CN3CCOCC3)cc2)n1)c1nc2ccccc2s1,78.42
CHEMBL190677,O=C(c1ccccc1)C(O)c1ccccc1,25.25
CHEMBL4303373,O=C1CCC[C@@H]2[C@@H]3CCC[N+]4([O-])CCC[C@H](CN12)[C@@H]34,1.81
CHEMBL3301681,CCOC1O[C@H]([C@@H](COCc2ccccc2)OCc2ccccc2)[C@H](OCc2ccccc2)[C@H]1O,-34.62
